Title,Type,Creation Date,Days Since Creation,Training Materials,Sessions,Enrollments,Not Started,Stuck,Completed
,,Global Civics Knowledge Check,253,4,E-learning,{'2024-12-04': 400},102,94,{'2024-12-04': 204}
,,Impact of Being Culturally Attuned on the Member and Coaching Journey,253,1,E-learning,{'2024-12-04': 400},198,2,{'2024-12-04': 200}
,,Intent vs. Impact: What to do when you get it wrong and how to repair,253,1,E-learning,{'2024-12-04': 400},197,3,{'2024-12-04': 200}
,,The Work of Cultural Humility Beyond Sessions,253,1,E-learning,{'2024-12-04': 400},196,3,{'2024-12-04': 201}
,,Embracing Cultural Humility in Sessions,253,1,E-learning,{'2024-12-04': 400},190,1,{'2024-12-04': 209}
,,Differences in Psychological Perceptions Across Cultures,253,1,E-learning,{'2024-12-04': 400},179,4,{'2024-12-04': 217}
,,Google Meet Technical Skills Training,265,3,E-learning,{'2024-12-04': 33},3,3,{'2024-12-04': 27}
,,What is Global Civics,272,1,E-learning,{'2024-12-04': 400},165,8,{'2024-12-04': 227}
,,BetterUp Manage Auxiliary Learning Content (LEGACY),286,8,E-learning,{'2024-12-04': 229},46,56,{'2024-12-04': 127}
,,Kellanova - AMEA Tripartite Coaching,291,3,E-learning,{'2024-12-04': 1},0,0,{'2024-12-04': 1}
,,Exec Mock Facilitator Preparation,302,1,E-learning,{'2024-12-04': 15},1,1,{'2024-12-04': 13}
,,Executive Cloud Onboarding,302,2,E-learning,{'2024-12-04': 235},55,16,{'2024-12-04': 164}
CC Goog,,Coaching Circles: Google 2024,306,6,E-learning,{'2024-12-04': 10},1,2,{'2024-12-04': 7}
,,Tomorrowmind Series: The Edges of Coaching,307,7,E-learning,{'2024-12-04': 794},23,505,{'2024-12-04': 266}
,,Tomorrowmind Series: Prospection & Creativity,307,5,E-learning,{'2024-12-04': 713},22,410,{'2024-12-04': 281}
,,"Tomorrowmind Series: Building Optimism, Resilience, and Mattering",307,5,E-learning,{'2024-12-04': 928},27,520,{'2024-12-04': 381}
,,Lead Mock Facilitator Preparation,314,2,E-learning,{'2024-12-04': 58},4,1,{'2024-12-04': 53}
,,"February 01, 2024 — All Together Recording",326,1,E-learning,{'2024-12-04': 4},0,4,{'2024-12-04': 0}
,,Watch Party: All Together Q1 2024,326,1,E-learning,{'2024-12-04': 216},66,0,{'2024-12-04': 150}
,,All Together Q1 2024: A virtual gathering of all BetterUp Coaches and staff,326,2,E-learning,{'2024-12-04': 1076},192,0,{'2024-12-04': 884}
,,Facilitating Manage Circles (old),328,15,E-learning,{'2024-12-04': 56},1,5,{'2024-12-04': 49}
,,Introduction To BetterUp Manage™ (LEGACY),329,2,E-learning,{'2024-12-04': 297},15,11,{'2024-12-04': 270}
,,Asynchronous Coaching for BetterUp Direct,330,2,E-learning,{'2024-12-04': 37},0,0,{'2024-12-04': 37}
,,Introducing Session Insights for BetterUp Manage,330,4,E-learning,{'2024-12-04': 227},22,5,{'2024-12-04': 200}
,,US Navy - Navy Personnel Command (2024),333,4,E-learning,{'2024-12-04': 1},0,1,{'2024-12-04': 0}
,,Roche Coaching for Executive Leaders Briefing,336,8,E-learning,{'2024-12-04': 31},2,0,{'2024-12-04': 29}
,,Whole Person Model for BetterUp Manage™ (LEGACY),351,2,E-learning,{'2024-12-04': 229},19,5,{'2024-12-04': 205}
